2018-12-07T00:31:27Z,2018-12-07T00:31:37Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-07T00:33:52Z,2018-12-07T00:36:47Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-07T00:49:59Z,2018-12-07T00:52:39Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-07T00:52:44Z,2018-12-07T00:56:14Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-07T00:56:19Z,2018-12-07T01:01:34Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-07T01:01:39Z,2018-12-07T01:07:39Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-07T01:16:01Z,2018-12-07T01:16:06Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-07T01:16:16Z,2018-12-07T01:16:56Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-07T01:17:11Z,2018-12-07T01:18:36Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-07T01:28:21Z,2018-12-07T01:34:21Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-07T01:39:03Z,2018-12-07T01:39:13Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-07T01:39:18Z,2018-12-07T01:39:33Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-07T01:39:38Z,2018-12-07T01:40:08Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-07T01:43:08Z,2018-12-07T01:45:58Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-07T01:50:05Z,2018-12-07T01:50:10Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-07T01:50:20Z,2018-12-07T01:51:50Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-07T01:52:05Z,2018-12-07T01:52:45Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-09T03:35:26Z,2018-12-09T03:35:31Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-09T03:35:41Z,2018-12-09T03:36:21Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-09T03:36:31Z,2018-12-09T03:38:01Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-09T03:47:48Z,2018-12-09T03:53:48Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-09T03:59:30Z,2018-12-09T03:59:35Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-09T03:59:45Z,2018-12-09T04:01:15Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-09T04:01:30Z,2018-12-09T04:02:10Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-09T04:11:31Z,2018-12-09T04:16:01Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-09T04:16:16Z,2018-12-09T04:16:56Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-09T04:27:33Z,2018-12-09T04:39:58Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-09T04:40:13Z,2018-12-09T05:06:48Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-09T05:07:08Z,2018-12-09T05:07:18Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-09T05:07:23Z,2018-12-09T05:12:13Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-09T05:12:33Z,2018-12-09T05:12:43Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-09T05:12:48Z,2018-12-09T05:37:18Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-09T05:37:33Z,2018-12-09T05:37:38Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-09T05:37:43Z,2018-12-09T05:42:28Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-09T05:42:43Z,2018-12-09T06:14:03Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-09T06:14:13Z,2018-12-09T06:15:33Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T04:12:38Z,2018-12-11T04:13:33Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T04:13:38Z,2018-12-11T04:14:18Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T04:17:18Z,2018-12-11T04:17:58Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T04:18:18Z,2018-12-11T04:19:38Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T04:21:23Z,2018-12-11T04:22:38Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T04:22:58Z,2018-12-11T04:23:03Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T04:24:48Z,2018-12-11T04:27:08Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T04:27:28Z,2018-12-11T04:28:33Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T04:33:13Z,2018-12-11T04:34:08Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T04:34:28Z,2018-12-11T04:35:23Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T04:48:36Z,2018-12-11T04:49:11Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T04:49:16Z,2018-12-11T04:50:36Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T04:50:41Z,2018-12-11T04:51:31Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T04:51:36Z,2018-12-11T04:52:01Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T04:54:51Z,2018-12-11T05:40:11Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T05:40:16Z,2018-12-11T05:53:11Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T05:53:16Z,2018-12-11T05:53:51Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T05:54:11Z,2018-12-11T05:55:26Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T06:38:29Z,2018-12-11T06:40:54Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T06:40:59Z,2018-12-11T06:41:04Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T06:41:09Z,2018-12-11T06:41:44Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T06:41:49Z,2018-12-11T06:43:34Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T06:48:31Z,2018-12-11T06:49:06Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T06:49:11Z,2018-12-11T06:50:11Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
2018-12-11T06:53:11Z,2018-12-11T06:54:11Z,http://quakeml.org/vocab/marsquake/1.0/LanderFSWActivityType#ARM_OPERATION,I-1500:IDA_ACT_CMD : Arm-movement ;; I-1500:IDA_ACT_CMD : Arm-movement
